gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;70.08834933582798;497;215;11;0.45431779299544467;22901;2220;21891;0.7921667641529588;0.023822333625448416
1;70.08834933582798;182;222;19;0.6172507072831603;22611;2188;21608;0.7812978818959829;0.03387770181735339
2;66.39369690416511;114;241;23;0.7787738390624178;20447;2315;19497;0.7561201679722586;0.04055648602721478
3;58.91236168644473;46;228;15;0.5875927025713774;18827;2174;17972;0.7395497141730181;0.051940397284780546
4;58.91236168644473;33;225;16;0.5489136203440753;17648;2015;16888;0.726877293949459;0.06384419146843985
5;58.91236168644473;26;224;16;0.6387741151213305;16998;2082;16213;0.7019098718845433;0.0813301174474359
6;58.91236168644473;22;210;13;0.5866365304243751;17588;2065;16777;0.693561455006531;0.07615082450061732
7;58.91236168644473;20;191;18;0.6929270588833375;18306;2004;17510;0.6877138121385544;0.07155216923171578
8;57.0744117355358;14;180;11;0.4780709622527696;19184;1776;18490;0.6710333606318832;0.06606344116228817
9;50.85973400762592;9;141;19;0.5839206836007649;20090;1512;19479;0.6886704221920099;0.07230843068336269
10;48.35513873921278;7;135;13;0.5723525283886942;21170;1300;20626;0.6367796933238616;0.06268926434810733
11;48.35513873921278;6;105;11;0.42221119622245973;21958;984;21553;0.6413657502971747;0.06020688098340463
12;48.35513873921278;4;91;8;0.3860570581677615;21904;813;21552;0.6439855408837271;0.04371154089181672
13;43.75987916529298;5;90;13;0.4787127636901186;21752;808;21421;0.6485600875211754;0.03220616785835288
14;37.91028713199951;6;92;11;0.4009990793513706;21859;815;21521;0.6623383389482429;0.053133252168062244
15;33.45622995747742;6;96;10;0.4526280940112095;21963;869;21581;0.638752406643765;0.04182485465617941
16;32.81030999350077;7;90;13;0.4508855424098869;21900;845;21529;0.6497689381399303;0.0649609306982842
17;32.81030999350077;5;104;15;0.5479939880313844;21823;985;21374;0.6752330121118377;0.07042959779194216
18;32.81030999350077;7;107;14;0.5906315554413513;21737;1068;21251;0.6916164172538354;0.04854140724671304
19;32.81030999350077;7;103;11;0.5665469961522435;21807;1024;21376;0.6744014370045092;0.04671453400704551
20;20.399364114941847;7;95;12;0.4982937879743543;21637;964;21232;0.648149988737725;0.06366338485537149
21;20.399364114941847;5;94;15;0.5433202969811953;21862;925;21445;0.6560461466477792;0.04369770831562995
22;20.399364114941847;4;101;16;0.6383104556954025;21407;917;21051;0.649588675194778;0.04237677418973732
23;20.399364114941847;3;86;14;0.4985658829017994;21215;867;20851;0.6588291838932476;0.03578768754596258
24;20.399364114941847;4;89;13;0.43704250099479036;21476;878;21122;0.6363131891558881;0.06590232517019826
