gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;11;117;4;0.407887769305051;37633;3698;35176;0.6696860994988505;0.06010879767935512
1;0.53125;11;119;3;0.40922352989689287;33781;3503;31456;0.6365152933067894;0.06943798915085712
2;0.53125;4;136;3;0.2473032739001765;27934;3307;25926;0.6016710087623631;0.050782468993444116
3;0.5625;3;140;4;0.1766348241188025;23207;3156;21461;0.5543872905262358;0.0474346497638036
4;0.5625;1;136;4;0.2609666046721147;19740;2829;18294;0.5466483501930163;0.03730534724485199
5;0.5625;1;135;5;0.2435985756998318;17400;2801;16019;0.5334472143258838;0.035094693360192615
6;0.5625;1;129;4;0.15760772120073155;16250;2658;14987;0.5382171883713451;0.033280828679067634
7;0.5625;1;136;4;0.18541554316992886;15429;2554;14253;0.5104417779816848;0.0339961537117887
8;0.5625;1;130;4;0.2149092686450122;15123;2592;13874;0.5184667127964001;0.03331491340843
9;0.5625;1;136;4;0.22842796925952077;14987;2567;13772;0.5514184736708871;0.032392776593282525
10;0.5625;1;128;4;0.1408402364039481;14637;2449;13466;0.5178682547988328;0.033271003522101626
11;0.5625;1;126;4;0.18712504911447556;14811;2510;13681;0.5094657864756484;0.03461832164067913
12;0.5625;1;126;4;0.29038893804069127;14585;2448;13484;0.5376342183896498;0.03305564966473422
13;0.5625;1;127;4;0.22605378724413466;14872;2476;13694;0.5035006380815801;0.03335961713569019
14;0.5625;1;131;4;0.1408402364039481;14909;2463;13830;0.5172179318415872;0.030442055831734545
15;0.5625;1;123;4;0.1551174962050585;14743;2532;13539;0.5032012022124283;0.03162324787916056
16;0.5625;1;131;4;0.17187910443956794;14861;2569;13623;0.5174422321732898;0.03152281443735729
17;0.5625;1;126;4;0.2013846432007101;14642;2494;13485;0.5366485480643098;0.03278516468363057
18;0.5625;1;118;4;0.17187910443956794;14538;2480;13395;0.5542480476505229;0.030962450710958437
19;0.5625;1;126;4;0.1983650931920562;14411;2453;13279;0.5156648283159323;0.032782570899288405
20;0.5625;1;125;4;0.18541554316992886;14424;2383;13333;0.5157148941384151;0.031592584456986005
21;0.5625;1;126;4;0.18541554316992886;14701;2464;13576;0.5242753484933143;0.03432183434378986
22;0.5625;1;128;4;0.19408167429190362;14552;2357;13456;0.5247620268039127;0.03321866747404051
23;0.5625;1;135;4;0.26325709872756803;15028;2524;13836;0.5377840111957399;0.03385256691295696
24;0.5625;1;132;4;0.17187910443956794;14836;2409;13724;0.5068592960214248;0.03083196607251238
25;0.5625;1;130;4;0.1686598234906943;14512;2310;13455;0.5165203140122374;0.03137231340209315
26;0.5625;1;132;4;0.2149092686450122;14563;2454;13393;0.5462643814801342;0.031743672386717964
27;0.5625;1;128;4;0.19408167429190362;14261;2388;13177;0.5225933662924953;0.03375290329692618
28;0.5625;1;126;4;0.18712504911447556;14135;2420;13054;0.5056432787705805;0.03142327094974765
29;0.5625;1;125;5;0.22212854959388584;14692;2536;13544;0.5142549630053181;0.03132310031258848
30;0.5625;1;137;4;0.22842796925952077;14126;2486;13028;0.5104437683471933;0.033250069864921405
31;0.5625;1;132;4;0.2006555872475095;14585;2560;13402;0.5086978582085938;0.033821990737289656
32;0.5625;1;134;4;0.2149092686450122;14604;2566;13422;0.5214953841346683;0.03225956503611976
33;0.5625;1;129;3;0.16085955443091404;14701;2531;13523;0.5165520736572914;0.032509694525071374
34;0.5625;1;145;4;0.18712504911447556;14790;2549;13594;0.5052014511983416;0.03223590850178297
35;0.5625;1;126;4;0.2402956067910253;14477;2517;13275;0.5032809807415487;0.03121395467885939
36;0.5625;1;128;4;0.21418021269181162;14496;2532;13303;0.5469299633409576;0.03531910877525131
37;0.5625;1;144;4;0.2149092686450122;14784;2537;13605;0.5104309647433988;0.032323310194140385
38;0.5625;1;129;4;0.2149092686450122;14823;2631;13598;0.5528370252546374;0.03004272773807932
39;0.5625;1;130;4;0.2013846432007101;14167;2500;13031;0.5286209221234188;0.032940431072050594
40;0.5625;1;125;4;0.2006555872475095;14433;2540;13296;0.5109544376323163;0.033420582380259224
41;0.5625;1;134;4;0.2013846432007101;14397;2546;13230;0.5198242712730267;0.032475566674078915
42;0.5625;1;135;4;0.18541554316992886;14626;2555;13446;0.5043170281275544;0.032550218449312496
43;0.5625;1;136;4;0.1983650931920562;14594;2539;13466;0.49955359143657213;0.034029521095941026
44;0.5625;1;124;5;0.22139949364068526;14403;2654;13200;0.5111364703358167;0.031080290816484803
45;0.5625;1;122;3;0.08801241684478481;14191;2542;13009;0.5209761902684165;0.032193573451542216
46;0.5625;1;130;4;0.15760772120073155;14191;2570;13023;0.5202046046951985;0.030906860837486047
47;0.5625;1;138;4;0.2402956067910253;14271;2496;13075;0.5425033380723883;0.03146776531237721
48;0.5625;1;129;5;0.24916001380208452;14073;2539;12918;0.5039912755317432;0.030510713122076365
49;0.5625;1;130;4;0.18541554316992886;14271;2461;13136;0.5349773789449999;0.030845791322615782
50;0.5625;1;138;4;0.22784698114861418;14368;2498;13203;0.5123773882772187;0.03185643297303083
51;0.5625;1;140;4;0.2787394145277502;14707;2470;13567;0.5110888753383114;0.03284924203079899
52;0.5625;1;143;4;0.25938696186010934;14383;2452;13285;0.5268961472530604;0.034169185346818426
53;0.5625;1;127;4;0.1551174962050585;14616;2427;13513;0.5407023268447545;0.03371531496746522
54;0.5625;1;137;4;0.12557666199346632;15046;2371;13954;0.5500775126775397;0.030623680900578133
55;0.5625;1;125;4;0.1983650931920562;14664;2385;13586;0.5367735455137516;0.030997689061052734
56;0.5625;1;131;4;0.12557666199346632;15073;2376;13992;0.5151297758674322;0.03188649019793227
57;0.5625;1;140;4;0.2149092686450122;14873;2575;13646;0.4975360142592018;0.032414647323552696
58;0.5625;1;136;4;0.1408402364039481;14704;2450;13601;0.5549466778576259;0.033334488993769396
59;0.5625;1;127;4;0.1983650931920562;14518;2363;13436;0.5172538913059604;0.03219626900045252
60;0.5625;1;113;5;0.21910899958523197;14436;2339;13399;0.5135786232570367;0.03206522503212692
61;0.5625;1;122;4;0.1951458122431826;14116;2392;13015;0.4930823968921135;0.03360712280557635
62;0.5625;1;130;4;0.25428557096297183;14314;2469;13170;0.5175924933252675;0.03308666715592217
