gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;1.4496888181402356;64;55;3;1.3156927513430803;4185;1042;3448;0.882661862195076;0.02915887076337731
1;1.4496888181402356;56;58;3;1.0953390926922595;4181;1029;3453;0.8587905489213982;0.06195333084643088
2;1.4496888181402356;52;59;3;1.1096153217888276;4070;1050;3334;0.8281083795693971;0.06408060734538859
3;1.4496888181402356;42;60;3;1.3126312026117115;4002;1115;3211;0.8023085509208944;0.06829864144407273
4;1.4496888181402356;45;58;3;1.2559170259774697;3990;1117;3176;0.7839063304187956;0.06968355273947414
5;1.4892333136059441;42;59;3;1.3018784090419302;3947;1074;3188;0.7707193974956584;0.0689569323341658
6;1.4892333136059441;34;59;3;1.2214713865842914;3635;1021;2964;0.7573892504142979;0.07140962760021821
7;1.4892333136059441;37;58;3;1.1096153217888276;3679;1030;2990;0.7506369387606174;0.06493993456396753
8;1.4892333136059441;34;60;3;1.22591107824356;3604;1051;2894;0.74414318422547;0.07067516759120544
9;1.4892333136059441;33;60;3;1.2376296950377743;3488;1028;2801;0.7434915101636467;0.07284023854074692
10;1.4892333136059441;33;60;3;1.2475562489182659;3488;1057;2767;0.7382026790225377;0.07254996941870373
11;1.4892333136059441;31;60;3;1.3156927513430805;3546;1039;2857;0.730343568441336;0.07310127053359643
12;1.4892333136059441;27;58;3;1.3543370204656968;3484;1062;2768;0.7330018998053762;0.06562932835261638
13;1.4892333136059441;31;61;3;1.2680161172305842;3339;1048;2671;0.7216980897238146;0.06911894508662383
14;1.4892333136059441;28;57;3;1.1430284488650115;3321;1034;2677;0.7231390400469911;0.0707612483040489
15;1.4892333136059441;26;59;3;1.2627317300909384;3379;1030;2706;0.7174185684704812;0.06832335979748326
16;1.4892333136059441;25;61;3;1.2848614763176351;3435;1046;2765;0.7217618613498658;0.07043155952874192
17;1.4892333136059441;29;61;3;1.2740385237391763;3427;1076;2745;0.7248624783103865;0.07498153204968006
18;1.4892333136059441;26;55;3;1.2170220833892398;3420;1041;2740;0.720086267112846;0.07108740359448236
19;1.4892333136059441;26;60;3;1.3520027627385358;3435;1014;2815;0.7217274774037481;0.07960662541743686
20;1.4892333136059441;25;60;3;1.1577051851330082;3651;1064;2924;0.7261038337566059;0.07090741761006233
21;1.4892333136059441;31;57;3;1.3080300142979036;3749;1095;2998;0.7285089758689943;0.0698449542784014
22;1.4892333136059441;29;61;3;1.3868724237332433;3757;1113;2988;0.721568012342209;0.07532308517289728
23;1.4892333136059441;26;60;3;1.2110745973920984;3722;1042;3026;0.7295321344754234;0.0746475480258972
24;1.4892333136059441;32;56;3;1.2627317300909384;3553;1064;2857;0.7325608271721769;0.06796343610070721
25;1.4892333136059441;28;62;3;1.2244322443615148;3357;1000;2714;0.7234647759482227;0.07494697792826073
26;1.4892333136059441;28;60;3;1.3884551385825668;3505;1030;2824;0.7217636636949335;0.07054438652675088
27;1.4892333136059441;48;58;3;0.9853311894904193;4050;1014;3356;0.8391270207358131;0.04061142353965987
28;1.4892333136059441;45;60;3;1.1946287180040256;4016;1026;3314;0.8310030023088559;0.06686041177087153
29;1.4892333136059441;48;57;3;1.0399672435169713;3923;1075;3132;0.8080985233260142;0.06795030125516939
30;1.4892333136059441;44;59;3;1.2129788685315368;3873;1023;3139;0.7898174465494346;0.06376655621543152
31;1.6278804634037483;38;58;3;1.198192411043098;3722;1085;2980;0.772349269367913;0.07272331639063602
32;1.6278804634037483;36;62;3;1.2129788685315368;3734;1101;2954;0.7672639092549698;0.07779734873557881
33;1.6278804634037483;35;61;3;1.348106130062573;3472;1056;2769;0.7498331896594407;0.06617038356670758
34;1.6278804634037483;32;57;3;1.2136262079728146;3364;1043;2661;0.7307260178328456;0.07110904287937163
35;1.6278804634037483;29;59;3;1.3080300142979036;3455;1057;2781;0.7340222265335992;0.07123036746633057
36;1.6278804634037483;30;59;3;1.2559170259774697;3398;1072;2680;0.7209283124790822;0.062327787895226555
37;1.6278804634037483;26;57;3;1.168645033308507;3362;1063;2665;0.7132955210118676;0.06291125578010578
38;1.6278804634037483;27;58;3;1.3551144887230295;3404;1109;2665;0.7135348089055851;0.062035051352450216
39;1.6278804634037483;28;59;3;1.22591107824356;3328;1041;2656;0.7068212391903298;0.07500940077647773
40;1.6278804634037483;31;61;3;1.3520027627385358;3214;1003;2568;0.7128755219911135;0.06149674339096383
41;1.6278804634037483;24;57;3;1.2627317300909384;3181;972;2571;0.7118072202969319;0.06552164853599193
42;1.6278804634037483;28;56;3;1.2214713865842914;3269;1010;2605;0.7073987374247355;0.06453207157867553
43;1.6278804634037483;29;58;3;1.378694195758941;3338;1088;2607;0.7185215312432788;0.0657008724444614
44;1.6278804634037483;24;59;3;1.3426377236324372;3290;1044;2608;0.7053467244194906;0.07188035822204338
45;1.6278804634037483;27;58;3;1.378694195758941;3259;1065;2544;0.7099233686048512;0.0676326779769804
46;1.6278804634037483;25;58;3;1.2036157453366432;3248;995;2628;0.7101107424659623;0.07033893963141176
47;1.6278804634037483;22;56;3;1.2680161172305842;3263;1012;2626;0.7079088504973916;0.064773987040156
48;1.6278804634037483;27;63;3;1.1577051851330082;3285;1006;2642;0.7089844849833501;0.06669969241727325
49;1.6278804634037483;34;61;3;1.0953390926922595;3324;1032;2651;0.7181123264700914;0.06600702699267635
50;1.6278804634037483;29;60;3;1.1577051851330082;3403;1100;2668;0.7201562230992407;0.060871718204039194
51;1.6278804634037483;27;59;3;1.2036157453366432;3327;1105;2579;0.7145627284228773;0.061495432126712164
52;1.678823888922446;28;61;3;1.2810081788882268;3350;1081;2618;0.7103460170634256;0.06454039482803764
53;1.678823888922446;28;58;3;1.0215584744360762;3355;1065;2656;0.702331673822993;0.05584727642405975
54;1.678823888922446;22;55;3;1.1071418440575733;3399;1048;2699;0.6956875125808402;0.07279739279893961
55;1.678823888922446;21;56;3;1.1719832867529423;3462;1011;2832;0.692989161172031;0.06159727729335235
56;1.678823888922446;24;54;3;1.2129788685315366;3464;1085;2724;0.7063649403883968;0.06541436317022578
57;1.678823888922446;27;58;4;1.287691460141834;3326;1047;2663;0.7030828554082171;0.06555567252054452
58;1.678823888922446;31;59;3;1.0215584744360762;3383;1075;2699;0.7109330425206266;0.05846753575325929
59;1.678823888922446;27;60;3;1.2129788685315366;3309;1015;2638;0.7078085526774636;0.06216557726184029
60;1.678823888922446;27;57;3;1.2036157453366432;3208;1025;2572;0.7073879435421191;0.06139891286545598
61;1.678823888922446;31;55;3;1.2627317300909384;3318;1004;2657;0.719695181733849;0.0554819128078312
62;1.678823888922446;22;60;3;1.2739545216761172;3279;1030;2599;0.7027247299490952;0.06886336410592599
63;1.678823888922446;22;59;3;1.1664616437886162;3286;1060;2564;0.7017725641558727;0.06385054910326574
64;1.678823888922446;25;56;3;1.3355841933727153;3245;1079;2538;0.7051475728486856;0.058519132534923045
65;1.678823888922446;28;59;3;1.315885113739256;3338;1117;2589;0.7000318442583269;0.06723733135134731
66;1.678823888922446;27;62;3;1.1693723243127148;3339;1021;2700;0.7007266547888511;0.06936617010412165
67;1.678823888922446;25;55;3;1.2757643078846446;3451;1068;2769;0.7062505593980177;0.06606936810417748
68;1.678823888922446;21;59;3;1.2848614763176351;3315;1016;2686;0.7016866134839951;0.061380919700688506
69;1.7579687031516646;23;59;3;1.1334321011224375;3441;1136;2695;0.7039016957440157;0.058345687708075744
70;1.7579687031516646;24;55;3;1.4177591966076055;3501;1071;2806;0.7054920784399914;0.05799728933144069
71;1.7579687031516646;23;61;3;1.326928037707624;3636;1078;2925;0.706251235297641;0.06321657527428316
72;1.7579687031516646;25;59;3;1.22591107824356;3692;1082;2963;0.7086991120128223;0.06059825270642034
73;1.7579687031516646;26;59;3;1.2739545216761172;3631;1095;2886;0.7000020610731177;0.0696335417421551
74;1.7579687031516646;26;59;3;1.0988793155143044;3663;1100;2928;0.7033402333018915;0.05926061249183479
75;1.7579687031516646;28;55;3;1.2627317300909384;3617;1152;2829;0.7039398059732461;0.061251572944267176
76;1.7579687031516646;27;59;3;1.3355841933727153;3524;1114;2766;0.7080429293268362;0.056228953769361364
77;1.7579687031516646;28;54;3;1.1511135511938806;3538;1075;2825;0.707589307787313;0.05758096353947174
78;1.7579687031516646;27;57;3;1.168645033308507;3578;1070;2882;0.7083213278244216;0.06768114613372936
79;1.7579687031516646;29;61;3;1.085949021713486;3474;1048;2805;0.7113384408912282;0.05622032141720609
80;1.7579687031516646;22;57;3;1.274790066617014;3335;1013;2723;0.7042954099985105;0.05357760020060176
81;1.7579687031516646;22;57;3;1.2475562489182659;3351;973;2745;0.7015063192760481;0.06899323917805043
82;1.7579687031516646;22;58;3;1.2376296950377743;3228;1017;2592;0.7089459972710135;0.06398249132914866
83;1.7579687031516646;24;57;3;1.3156927513430805;3307;1001;2702;0.7093980136896932;0.06634184379023426
84;1.7579687031516646;27;58;3;1.2261134199863002;3506;1044;2844;0.715359460175819;0.06843930501598991
85;1.7579687031516646;28;57;3;1.326928037707624;3542;1085;2811;0.7111612871705197;0.07135508851939808
86;1.7579687031516646;29;59;3;1.1511135511938806;3649;1115;2897;0.7187826416394358;0.06633204848174569
87;1.7579687031516646;27;57;3;1.1946287180040256;3570;1099;2835;0.7208442767762941;0.06550875011833172
88;1.7579687031516646;31;58;3;1.3080300142979036;3557;1114;2784;0.7133578686202096;0.06477078205888762
89;1.7579687031516646;25;57;3;1.3172217624782507;3513;1069;2813;0.7074210307274837;0.06505247468216187
90;1.7579687031516646;28;59;3;1.22591107824356;3540;1036;2873;0.708053966683242;0.06381660989530623
91;1.7579687031516646;50;62;3;1.097863308297451;4227;1001;3505;0.8341670204513004;0.043302832225532606
92;1.7579687031516646;46;59;3;1.3426377236324372;4142;1029;3386;0.8284520166934048;0.07023072514348352
93;1.7579687031516646;37;56;3;1.2848614763176351;4007;1068;3229;0.8042915369154879;0.06823060660836829
94;1.7579687031516646;38;56;3;1.3426377236324372;3892;1033;3177;0.7862244226987399;0.06506740333765461
95;1.7579687031516646;37;56;3;1.44504335329676;3651;1065;2926;0.764039793144016;0.06691278401567183
96;1.7579687031516646;37;58;3;1.326928037707624;3521;1003;2850;0.7535061951947182;0.06539490133570143
97;1.7579687031516646;33;60;3;1.3355841933727153;3448;1005;2801;0.7437388990223751;0.06942574359938615
98;1.7579687031516646;32;57;3;1.2680161172305842;3453;978;2815;0.7315121614954049;0.06759409375287372
99;1.7579687031516646;27;58;3;1.2941617799247127;3411;1002;2756;0.7249345104896662;0.06527188001850762
100;1.7579687031516646;31;60;3;1.2036157453366432;3418;1028;2737;0.7174952825610958;0.05695916688411384
