gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;72;121;3;0.4721652057636848;37752;3464;35443;0.7511358705224334;0.036554961920814456
1;0.53125;41;131;3;0.4536988300064002;34330;3386;32063;0.7418709672677384;0.052725583003562775
2;0.53125;15;146;3;0.30993675072402266;28341;3271;26335;0.6810670772150188;0.06806950904055686
3;0.53125;7;143;4;0.2982399886205596;23143;2965;21468;0.6358980858801289;0.052993772699380735
4;0.53125;7;128;3;0.13911749620505848;20269;2683;18831;0.6079319782392262;0.049507275264212294
5;0.5625;4;144;4;0.22598130508548428;18094;2606;16761;0.6055988592655381;0.043956905132519285
6;0.5625;1;136;4;0.1816152741101486;16507;2517;15294;0.5514040867940471;0.034373579905686485
7;0.5625;1;142;4;0.18219626222105523;15808;2471;14659;0.5538487521338346;0.03204512661191565
8;0.5625;1;133;4;0.19408167429190362;15106;2472;13958;0.5753023499839224;0.033737840214822915
9;0.5625;1;132;5;0.22935675615294113;14609;2519;13468;0.542796912398205;0.03459317897833667
10;0.5625;1;137;4;0.18541554316992886;14786;2516;13574;0.549774840968661;0.028362426875644366
11;0.5625;1;135;4;0.19894608130296282;14617;2426;13510;0.5732939439754654;0.03716167842578365
12;0.5625;1;130;4;0.22286653115726807;14535;2434;13399;0.5645758994159296;0.029043824873784374
13;0.5625;1;135;4;0.27825570540363836;14079;2376;13004;0.5481092965915089;0.028115488431806685
14;0.5625;1;134;4;0.20506989956792418;14381;2419;13283;0.5427360077235079;0.029138876007758784
15;0.5625;1;120;4;0.2006555872475095;14259;2359;13207;0.5295217526237941;0.03055182141367845
16;0.5625;1;111;4;0.19657189928757668;14106;2304;13091;0.5472972272859676;0.027073324127376883
17;0.5625;1;135;5;0.13206688698913938;13847;2323;12807;0.5247853904263975;0.02942118097929441
18;0.5625;1;126;4;0.12655711198481243;14138;2263;13114;0.521721817137926;0.029767562574602124
19;0.5625;1;128;4;0.17187910443956794;14298;2320;13224;0.5366571642912797;0.026742163259371322
20;0.5625;1;117;5;0.16160772120073155;13706;2259;12705;0.569438720661105;0.02640899171612138
21;0.5625;1;128;4;0.1408402364039481;13976;2208;12981;0.554201904275381;0.028483590537377694
22;0.5625;1;121;4;0.22286653115726807;14290;2204;13273;0.5550233167240489;0.027490147839448326
23;0.5625;1;134;4;0.18541554316992886;13987;2344;12913;0.5503201391926218;0.02846325843842266
24;0.5625;1;134;4;0.1673497794265871;13777;2250;12786;0.5626667539583191;0.029913297515579487
25;0.5625;1;128;5;0.18941554316992887;14217;2198;13229;0.5546819494098572;0.03199361950278018
26;0.5625;1;126;4;0.24135974474230426;14203;2315;13188;0.5671479103540944;0.02962933929577715
27;0.5625;1;132;4;0.2658255237578566;14377;2370;13250;0.5398095900258681;0.02997859587379773
28;0.5625;1;129;4;0.21188971863635833;14530;2347;13450;0.5556292060541391;0.02953025040400256
29;0.5625;1;127;3;0.17439599316127496;14752;2356;13640;0.5548845271369889;0.030161150616928024
30;0.5625;1;135;4;0.24194073285321088;14968;2385;13846;0.5559427886699799;0.03204809214385208
31;0.5625;1;127;4;0.24975624594999102;15113;2415;13946;0.5330433336684861;0.03444636305106816
32;0.5625;1;136;4;0.2787394145277502;14768;2416;13642;0.5592818002368601;0.03463020929675693
33;0.5625;1;135;4;0.21418021269181162;14746;2337;13655;0.5910969159139302;0.026402981090294222
34;0.5625;1;135;4;0.2400497006781971;14746;2463;13604;0.5461620039946733;0.029541650401931317
35;0.5625;1;126;4;0.18219626222105523;14692;2526;13561;0.5620234496425224;0.030820312074948383
36;0.5625;1;136;4;0.2013846432007101;14313;2579;13097;0.5464836726856876;0.0320749152362352
37;0.5625;1;134;4;0.22605378724413466;14488;2543;13293;0.5294497289753651;0.03148135008779532
38;0.5625;1;136;4;0.2013846432007101;14182;2559;12973;0.5782885253445947;0.026340444769823584
39;0.5625;1;123;4;0.2667222857892699;14261;2563;13087;0.6001558434443834;0.03050615600556622
40;0.5625;1;128;4;0.2523246709802796;14395;2556;13272;0.551469869848348;0.02765006705206864
41;0.5625;1;125;4;0.18219626222105523;14650;2621;13434;0.5273565794890078;0.03391852749328471
42;0.5625;1;122;4;0.14235001140827505;14581;2539;13405;0.5311831103143798;0.028726289253774333
43;0.5625;1;128;4;0.17285955443091405;14421;2542;13264;0.545373804141813;0.032611192429439405
44;0.5625;1;129;4;0.17187910443956794;14427;2567;13231;0.5518589825268725;0.032286622830722006
